id,name,meal_type,calories,protein_g,carbs_g,fat_g,diet_type,cost_per_serving,cuisine,prep_time_min,ingredients,preparation_steps
106,Chicken Dum Biryani,Dinner,820,48,95,30,Non-veg,180,Indian,75,"2 cups basmati rice, 600g chicken, 1 cup yogurt, 2 sliced onions, 1 tbsp ginger-garlic paste, biryani masala, saffron milk, 3 tbsp oil","Wash and soak basmati rice for 30 minutes. Marinate chicken with yogurt, ginger-garlic paste, salt, and biryani masala for at least 1 hour. Heat oil in a heavy-bottom pot and fry sliced onions until golden brown. Remove half for garnish. Add marinated chicken and cook until 70% done. In another pot, boil water with salt and cook rice until 70% cooked, then drain. Layer rice over chicken. Sprinkle saffron milk and fried onions on top. Cover tightly and cook on very low flame for 20–25 minutes (dum cooking). Turn off heat and let rest 10 minutes before serving."
107,Vegetable Thai Green Curry,Dinner,560,15,55,35,Veg,120,Thai,45,"1 cup broccoli, 1 cup carrots, 1 cup bell peppers, 1 cup coconut milk, 2 tbsp green curry paste, 1 tbsp oil","Heat oil in a deep pan over medium heat. Add green curry paste and sauté for 1–2 minutes until aromatic. Add vegetables and stir fry for 3–4 minutes. Pour coconut milk and mix well. Bring to gentle boil, then reduce heat and simmer 15 minutes until vegetables are tender but not mushy. Adjust salt and serve hot with rice."
108,Beef Stroganoff Classic,Dinner,780,52,60,48,Non-veg,190,Russian,60,"500g beef strips, 1 sliced onion, 1 cup mushrooms, 1 cup sour cream, 2 tbsp butter, 1 cup beef broth",Melt butter in a large skillet. Add onion and cook until soft. Add mushrooms and sauté until browned. Add beef strips and cook on high heat until sealed. Pour beef broth and simmer 20 minutes until meat is tender. Reduce heat and stir in sour cream. Cook gently for 5 minutes without boiling. Serve over noodles.
109,Vegetable Baked Ziti,Lunch,650,22,95,22,Veg,110,Italian,55,"300g ziti pasta, 2 cups tomato sauce, 1 cup ricotta, 1 cup mozzarella, 1 tbsp olive oil","Boil pasta in salted water until al dente. Drain and mix with olive oil to prevent sticking. In baking dish, spread thin layer of sauce. Add half pasta, spoon ricotta, more sauce, and mozzarella. Repeat layers. Bake at 180°C for 30 minutes until cheese is melted and golden."
110,Chicken Tikka Masala,Dinner,720,45,30,50,Non-veg,170,Indian,65,"600g chicken cubes, 1 cup yogurt, 1 cup tomato puree, 1/2 cup cream, spices, 2 tbsp oil","Marinate chicken in yogurt and spices for at least 1 hour. Grill or pan-sear chicken until lightly charred. In another pan, heat oil and cook tomato puree with spices for 10 minutes. Add cream and simmer 5 minutes. Add grilled chicken and cook together for 15 minutes until fully tender."
111,Vegetable Fried Dumplings,Lunch,520,14,75,18,Veg,85,Chinese,50,"Dumpling wrappers, 1 cup cabbage, 1/2 cup carrots, 1 tbsp soy sauce, 1 tsp sesame oil",Finely chop cabbage and carrots. Mix with soy sauce and sesame oil. Place small spoonful filling in wrapper. Fold and seal edges with water. Heat oil in pan and arrange dumplings. Cook until bottom turns golden. Add 1/4 cup water and cover to steam for 5 minutes. Remove lid and cook until water evaporates.
112,Grilled Lemon Herb Fish,Dinner,580,48,8,38,Non-veg,160,Continental,30,"2 fish fillets, 2 tbsp olive oil, lemon zest, mixed herbs, salt","Pat fish dry. Rub with olive oil, lemon zest, herbs, and salt. Preheat grill to medium. Grill fillets 4–5 minutes per side until flaky. Let rest 2 minutes before serving."
113,Vegetable Shakshuka (Classic),Breakfast,420,18,35,22,Veg,70,Middle Eastern,35,"4 eggs, 2 tomatoes, 1 onion, 1 bell pepper, paprika, olive oil",Heat olive oil in skillet. Sauté chopped onion and bell pepper until soft. Add chopped tomatoes and paprika. Simmer 10 minutes until thick. Make small wells and crack eggs into sauce. Cover and cook until egg whites set but yolks remain soft.
114,Chicken Pad Thai,Dinner,760,50,90,30,Non-veg,150,Thai,45,"200g rice noodles, 250g chicken, 2 eggs, bean sprouts, tamarind sauce",Soak noodles in warm water until soft. Heat oil in wok and cook chicken until done. Push to side and scramble eggs. Add noodles and tamarind sauce. Toss well and cook 5 minutes. Add bean sprouts last and stir gently.
115,Vegetable Spinach Lasagna,Dinner,700,28,85,30,Veg,140,Italian,70,"Lasagna sheets, 2 cups spinach, 1 cup ricotta, 1 cup mozzarella, tomato sauce",Blanch spinach and squeeze out excess water. Mix with ricotta. Layer pasta sheets with tomato sauce and spinach mixture. Repeat layers. Top with mozzarella. Bake at 180°C for 40 minutes until bubbling.
116,Beef Stir Fry Garlic,Dinner,820,58,35,55,Non-veg,200,Chinese,35,"500g beef strips, 4 cloves garlic, 1 cup broccoli, soy sauce, oil",Heat oil in wok. Add sliced garlic and sauté until fragrant. Add beef strips and cook on high heat until browned. Add broccoli and stir fry 3–4 minutes. Add soy sauce and cook 2 more minutes.
117,Vegetable Tofu Curry Indian,Dinner,560,24,45,30,Veg,95,Indian,40,"250g tofu cubes, 1 onion, 2 tomatoes, spices, 1 tbsp oil",Heat oil and sauté chopped onion until golden. Add ginger-garlic paste and cook 1 minute. Add chopped tomatoes and cook until soft. Add spices and tofu cubes. Simmer 15 minutes with lid covered.
118,Chicken Quesadilla Deluxe,Lunch,750,48,65,40,Non-veg,160,Mexican,30,"2 tortillas, 250g chicken, bell peppers, cheese, oil","Cook chicken with spices until fully done. Sauté sliced peppers separately. Place chicken and peppers on tortilla, sprinkle cheese, cover with another tortilla. Cook on pan until golden both sides and cheese melts."
119,Vegetable Minestrone Soup,Dinner,450,18,65,10,Veg,80,Italian,45,"Mixed vegetables, beans, pasta, vegetable broth",Heat oil in pot and sauté vegetables 5 minutes. Add broth and bring to boil. Add pasta and cook until tender. Add beans and simmer 10 minutes. Season before serving.
120,Grilled Chicken Breast Classic,Dinner,600,55,5,38,Non-veg,140,Continental,30,"2 chicken breasts, olive oil, salt, black pepper","Pat chicken dry and rub with olive oil, salt, and pepper. Preheat grill. Grill 6–7 minutes each side until internal temperature reaches 75°C. Let rest 5 minutes before slicing."
121,Creamy Mushroom Pasta,Dinner,640,20,85,28,Veg,110,Italian,35,"200g pasta, 2 cups sliced mushrooms, 3 cloves garlic minced, 1 cup heavy cream, 1/2 cup grated parmesan cheese, 1 tbsp olive oil, salt, black pepper","Boil a large pot of salted water and cook pasta until al dente according to package instructions. Reserve 1/2 cup pasta water before draining. Heat olive oil in a large skillet over medium heat. Add sliced mushrooms and cook for 6–8 minutes until golden brown and soft. Add minced garlic and sauté for 30 seconds until fragrant. Pour in heavy cream and allow it to gently simmer for 5–7 minutes until slightly thickened. Stir in grated parmesan cheese and mix until smooth. Add drained pasta into the sauce and toss well. If sauce is too thick, add reserved pasta water gradually. Season with salt and black pepper. Serve hot."
122,Chicken Teriyaki Bowl,Lunch,720,45,90,22,Non-veg,150,Japanese,40,"250g chicken thighs sliced, 2 cups cooked rice, 3 tbsp teriyaki sauce, 1 cup broccoli florets, 1 carrot sliced, 1 tbsp sesame oil","Heat sesame oil in a pan over medium heat. Add sliced chicken and cook 6–8 minutes until fully cooked and lightly browned. Add broccoli and carrots and cook for 3–4 minutes. Pour teriyaki sauce over chicken and vegetables. Simmer for 3 minutes until sauce thickens and coats everything evenly. In a bowl, add warm rice and top with teriyaki chicken mixture. Serve immediately."
123,Vegetable Lasagna Classic,Dinner,780,28,95,32,Veg,160,Italian,60,"Lasagna sheets, 2 cups tomato sauce, 1 cup ricotta cheese, 1 cup shredded mozzarella, 1 zucchini sliced, 1 cup spinach, 2 tbsp olive oil","Preheat oven to 180°C. Lightly sauté zucchini and spinach in olive oil for 5 minutes. Boil lasagna sheets until slightly soft and drain. In a baking dish, spread thin layer of tomato sauce. Add layer of lasagna sheets, ricotta, vegetables, mozzarella. Repeat layers. Finish with mozzarella on top. Bake for 35–40 minutes until cheese is melted and golden. Let rest 10 minutes before slicing."
124,Grilled Garlic Butter Shrimp,Dinner,600,42,10,38,Non-veg,180,Continental,25,"300g shrimp cleaned, 3 tbsp butter, 4 cloves garlic minced, 1 tbsp lemon juice, salt, pepper","Melt butter in a pan over medium heat. Add minced garlic and sauté for 30 seconds. Add shrimp and cook 2–3 minutes per side until pink and opaque. Add lemon juice, salt, and pepper. Stir well and cook another minute. Remove from heat and serve immediately."
125,Vegetable Pad Thai (With Egg),Lunch,650,18,100,18,Veg,120,Thai,35,"200g rice noodles, 1 cup bean sprouts, 1 carrot julienned, 2 eggs beaten, 2 tbsp tamarind sauce, 1 tbsp soy sauce, 1 tbsp oil","Soak rice noodles in warm water for 20 minutes until soft. Heat oil in wok. Add beaten eggs and scramble lightly. Add carrot and stir fry for 2 minutes. Add noodles, tamarind sauce, and soy sauce. Toss continuously for 5–6 minutes. Add bean sprouts at the end and mix gently. Serve hot."
126,Chicken Parmesan,Dinner,850,55,65,45,Non-veg,190,Italian,50,"2 chicken breasts flattened, 1 cup breadcrumbs, 1 egg beaten, 1 cup tomato sauce, 1 cup mozzarella, olive oil",Preheat oven to 190°C. Dip chicken in beaten egg then coat in breadcrumbs. Heat olive oil in pan and fry chicken until golden on both sides. Place fried chicken in baking dish. Spread tomato sauce on top and sprinkle mozzarella. Bake for 20 minutes until cheese melts and chicken is fully cooked.
127,Vegetable Stir Fry Deluxe,Lunch,520,16,70,20,Veg,85,Chinese,30,"1 cup broccoli, 1 bell pepper sliced, 1 carrot sliced, 1 zucchini sliced, 2 tbsp soy sauce, 1 tbsp oil, 2 cloves garlic",Heat oil in wok over high heat. Add garlic and sauté briefly. Add broccoli and carrot first and stir fry 3 minutes. Add bell pepper and zucchini and cook 3–4 more minutes. Add soy sauce and toss well. Cook until vegetables are tender-crisp. Serve immediately.
128,Beef Tacos Authentic,Lunch,780,48,70,42,Non-veg,170,Mexican,35,"300g ground beef, taco shells, 1 onion chopped, 1 tomato chopped, taco seasoning, shredded lettuce","Cook ground beef with chopped onion over medium heat until browned. Add taco seasoning and a splash of water. Simmer for 5 minutes. Warm taco shells. Fill shells with beef mixture, lettuce, and tomato. Serve immediately."
129,Vegetable Shakshuka (Hearty),Dinner,580,22,45,32,Veg,90,Middle Eastern,40,"4 eggs, 2 tomatoes chopped, 1 onion chopped, 1 bell pepper sliced, 2 tbsp olive oil, paprika",Heat olive oil in skillet. Sauté onion and bell pepper until soft. Add tomatoes and paprika. Simmer 10–15 minutes until thick sauce forms. Make small wells in sauce and crack eggs into them. Cover and cook until egg whites set but yolks remain slightly runny.
130,Grilled Chicken Caesar Salad,Lunch,640,48,20,38,Non-veg,150,Italian,25,"200g chicken breast, 2 cups romaine lettuce, 3 tbsp Caesar dressing, croutons, parmesan","Season chicken with salt and pepper and grill 6–7 minutes per side until fully cooked. Slice chicken. Toss lettuce with Caesar dressing. Top with grilled chicken, croutons, and grated parmesan. Serve fresh."
131,Vegetable Biryani Aromatic,Lunch,720,18,105,22,Veg,140,Indian,60,"2 cups basmati rice, 1 cup mixed vegetables (carrot, beans, peas), 1 sliced onion, 1 tbsp ginger-garlic paste, 1/2 cup yogurt, whole spices (bay leaf, cloves, cinnamon), 3 tbsp oil, salt","Wash and soak basmati rice for 30 minutes. Heat oil in a heavy pot and sauté whole spices for 30 seconds. Add sliced onion and cook until golden. Add ginger-garlic paste and sauté 1 minute. Add vegetables and cook 5 minutes. Stir in yogurt and salt. In another pot, parboil rice until 70% cooked and drain. Layer rice over vegetables. Cover tightly and cook on low heat for 20 minutes. Let rest 10 minutes before serving."
132,Chicken Fried Noodles Street Style,Lunch,760,50,95,25,Non-veg,160,Chinese,35,"250g noodles, 250g chicken strips, 1 cup cabbage shredded, 1 carrot julienned, 2 tbsp soy sauce, 1 tbsp oil, 2 cloves garlic",Boil noodles until al dente and drain. Heat oil in wok and sauté garlic. Add chicken and cook until fully done. Add cabbage and carrot and stir fry 3 minutes. Add noodles and soy sauce. Toss everything on high heat for 5–6 minutes.
133,Beef Stroganoff Creamy,Dinner,880,60,55,60,Non-veg,220,Russian,60,"500g beef strips, 1 onion sliced, 1 cup mushrooms, 1 cup sour cream, 2 tbsp butter, 1 cup beef broth",Melt butter in skillet and sauté onion until soft. Add mushrooms and cook until browned. Add beef and cook on high heat until sealed. Pour beef broth and simmer 25 minutes until tender. Stir in sour cream and cook 5 minutes without boiling.
134,Vegetable Pasta Primavera,Dinner,640,20,90,22,Veg,120,Italian,40,"200g pasta, 1 cup broccoli, 1 zucchini sliced, 1 bell pepper sliced, 1/2 cup cream, 2 tbsp olive oil",Cook pasta in salted water and drain. Heat olive oil in pan and sauté vegetables until tender. Add cream and simmer 5 minutes. Toss cooked pasta into sauce and mix well. Season and serve.
135,Chicken Tikka Oven Style,Dinner,780,55,20,55,Non-veg,180,Indian,50,"600g chicken pieces, 1 cup yogurt, 1 tbsp ginger-garlic paste, 1 tsp red chili powder, 1 tsp garam masala, salt, 2 tbsp oil","Marinate chicken in yogurt, spices, salt and oil for at least 1 hour. Preheat oven to 200°C. Arrange chicken on baking tray. Bake 25–30 minutes until fully cooked and slightly charred."
136,Vegetable Quesadilla Cheesy,Lunch,720,24,85,38,Veg,140,Mexican,30,"2 tortillas, 1 cup mixed vegetables, 1 cup shredded cheese, 1 tbsp oil",Heat oil in pan and sauté vegetables 5 minutes. Place vegetables and cheese on one tortilla and cover with another. Cook both sides until golden and cheese melts. Cut into wedges.
137,Grilled Lemon Fish,Dinner,650,52,10,42,Non-veg,190,Continental,30,"2 fish fillets, 2 tbsp olive oil, lemon juice, salt, pepper","Pat fish dry. Rub with olive oil, lemon juice, salt and pepper. Grill on medium heat 4–5 minutes each side until flaky."
138,Vegetable Ramen Bowl,Lunch,680,18,110,20,Veg,130,Japanese,35,"Ramen noodles, 1 cup mushrooms, 1 cup spinach, 3 cups vegetable broth, soy sauce",Boil broth in pot. Add noodles and cook until tender. Stir in vegetables and cook 3–4 minutes. Add soy sauce and serve hot.
139,Chicken Alfredo Lasagna (Extra Cheese),Dinner,920,65,85,60,Non-veg,240,Italian,75,"Lasagna sheets, 2 cups Alfredo sauce, 2 cups cooked chicken shredded, 1 cup mozzarella",Layer sheets with Alfredo sauce and chicken. Repeat layers. Top with mozzarella. Bake at 180°C for 40–45 minutes until golden.
140,Vegetable Falafel Wrap,Lunch,580,20,75,22,Veg,100,Middle Eastern,35,"1 cup chickpeas, garlic, parsley, spices, pita bread",Blend chickpeas with garlic and spices. Form small balls and fry until golden. Place inside warm pita bread with vegetables.
141,Beef Burger Classic,Lunch,890,58,65,62,Non-veg,220,American,30,"Beef patty, burger bun, lettuce, tomato, cheese, 1 tbsp oil","Heat pan and cook beef patty 4–5 minutes per side. Toast bun lightly. Assemble with lettuce, tomato and cheese."
142,Vegetable Dumplings Steamed,Lunch,520,16,75,18,Veg,90,Chinese,45,"Dumpling wrappers, 1 cup cabbage, 1 carrot grated, soy sauce",Mix cabbage and carrot with soy sauce. Fill wrappers and seal edges. Steam dumplings for 10–12 minutes until cooked through.
143,Chicken Biryani Simple,Dinner,850,60,105,30,Non-veg,190,Indian,65,"2 cups basmati rice, 500g chicken, 1 onion, spices, 2 tbsp oil",Cook chicken with spices until tender. Parboil rice separately. Layer rice over chicken. Cover and cook on low flame 20 minutes.
144,Vegetable Fried Rice Deluxe,Lunch,700,22,110,22,Veg,120,Chinese,30,"2 cups cooked rice, 1 cup vegetables, 2 tbsp soy sauce, 1 tbsp oil",Heat oil in wok. Add vegetables and cook 5 minutes. Add rice and soy sauce. Toss on high heat 5 minutes.
145,Grilled Chicken Wrap,Lunch,650,48,55,28,Non-veg,150,American,25,"Grilled chicken strips, tortilla, lettuce, yogurt sauce",Warm tortilla. Add chicken and lettuce. Drizzle yogurt sauce. Roll tightly and serve.
146,Vegetable Spinach Curry,Dinner,560,18,50,30,Veg,95,Indian,40,"2 cups spinach, 1 onion, 2 tomatoes, spices, 1 tbsp oil",Sauté onion until golden. Add tomatoes and cook until soft. Add spices and spinach. Cook 10 minutes until spinach is tender.
147,Beef Stir Fry Spicy,Dinner,820,60,30,55,Non-veg,210,Chinese,35,"500g beef strips, chili sauce, garlic, 1 cup bell peppers",Heat oil and sauté garlic. Add beef and cook until browned. Add bell peppers and chili sauce. Stir fry 5 minutes.
148,Vegetable Pizza Homemade,Lunch,880,28,110,40,Veg,180,Italian,60,"Pizza dough, tomato sauce, 1 cup vegetables, 1 cup mozzarella",Preheat oven to 220°C. Spread sauce over rolled dough. Add vegetables and mozzarella. Bake 15–20 minutes until crust is golden.
149,Chicken Caesar Wrap,Dinner,720,52,40,42,Non-veg,160,Italian,25,"Grilled chicken, tortilla, romaine lettuce, Caesar dressing",Slice grilled chicken. Toss lettuce with dressing. Place in tortilla and wrap tightly.
150,Vegetable Pesto Pasta,Dinner,680,22,95,24,Veg,130,Italian,35,"200g pasta, 3 tbsp pesto sauce, 1 cup cherry tomatoes, olive oil",Boil pasta until al dente. Heat olive oil and lightly sauté tomatoes. Add pasta and pesto sauce. Toss well and serve hot.
